RouteStartStore;Адрес отправки;RegionDelivery;RouteEndCity;RouteEndStore;Адрес доставки;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Черноголовка;МО_ЧЕРНОГОЛОВКА_1_МТС;Московская обл, г Черноголовка, пр-кт Институтский, д 5;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Черноголовка;МО_ЧЕРНОГОЛОВКА_2;Город Черноголовка Улица Первая Дом 7;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Щелково;МО_ЩЕЛКОВО_1 (ФРАНЧ);Город Щелково Улица Комсомольская Дом 5;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Щелково;МО_ЩЕЛКОВО_10;Московская обл, г Щелково, Пролетарский пр-кт, д 4 к 1;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Щелково;МО_ЩЕЛКОВО_7_МТС;Московская обл, г Щелково, Богородский мкр, д 5;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Щелково;МО_ЩЕЛКОВО_8;Московская обл, г Щелково, ул Центральная, д 25;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Щелково;МО_ЩЕЛКОВО_9;Московская обл, г Щелково, ул Радиоцентра N5, д 16;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Москва;Москва;МОСКВА_409_МТС;г Москва, км МКАД 24-й, влд 1;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область; ;МО_БЕЛООЗЕРСКИЙ_1_МТС;Московская обл, Воскресенский р-н, пгт Белоозерский, ул Коммунальная, д 16А;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область; ;МО_ОКТЯБРЬСКИЙ_3_МТС;Московская обл, г Люберцы, рп Октябрьский, ул Ленина, д 39Б;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область; ;МО_ФЕДИНО_3;Московская обл, Воскресенский р-н, село Федино, ул Фединская,д1 стр 1;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область;Бронницы;МО_БРОННИЦЫ_3;Московская обл, г Бронницы, ул Советская, д 69;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область;Бронницы;МО_БРОННИЦЫ_4_МТС;Московская обл, г Бронницы, ул Льва Толстого, д 9;;
