office_id,coordinates,,avg_shk
50006335,45.0593380000,38.9270820000,34
307327,45.0749870000,39.0428490000,202
50003801,45.0529130000,39.0298550000,42
212778,45.4600590000,39.0304120000,548
50007979,44.9467130000,37.9861150000,19
127390,45.0753120000,39.0365350000,376
213265,44.6892946350,37.7677930010,296
208755,44.7050030000,37.7849280000,459
141797,45.0541410000,39.0299770000,327
5199,44.6732863150,37.7815654280,739
50003893,44.9997970000,39.0311700000,69
151807,45.0389230000,39.0936660000,296
317464,45.1063348040,39.0049211410,179
157598,45.0175810000,39.0385980000,387
164977,44.7054260000,37.7731610000,438
211005,45.0698921080,39.0110351870,384
302095,45.0986681310,39.0029422040,273
159616,45.0477690000,39.0290860000,337
164247,44.7313070000,37.7530840000,633
163293,45.2128380000,39.6752980000,600
130941,44.0425800000,39.1527360000,605
310826,44.1042430000,39.0590290000,494
302585,44.6139280000,40.0621850000,300
212569,44.8667800000,38.1456470000,178
165263,45.1270540000,38.9519130000,637
163299,45.0250990000,39.0192230000,575
310657,45.0936790000,39.0073210000,209
132183,45.2215710000,39.6941760000,452
308716,44.9889930000,39.0700220000,88
111059,45.0938840000,39.0095670000,596
134862,44.2541740000,38.8476810000,828
128493,45.2268450000,38.9995060000,519
204197,44.8985124210,37.3957588430,841
206136,45.1107020000,39.1393270000,159
139667,45.1131550000,38.9279430000,376
210928,45.0368469300,38.9267004750,311
304025,44.8824080000,39.1838020000,469
151814,44.9964520000,39.0786570000,499
310225,45.0880270000,39.0386020000,660
50004291,45.0604780000,38.8859040000,136
321884,44.5481920000,38.0712840000,148
144253,44.8655300000,37.3317250000,497
310691,45.1018910000,38.9535650000,407
320282,44.5997910000,40.0716890000,42
308142,45.1569150000,38.9982110000,387
322154,45.0145110000,39.0802180000,71
3196,45.0713530000,39.0381460000,638
200308,44.7077920000,37.7796090000,411
50006488,44.9021480000,37.3236800000,421
50006347,45.0565050000,39.0177170000,175
159956,45.0732290000,38.9055590000,359
213267,44.8611580000,37.3803540000,421
