office_id,dst_lat,dst_long,shk_cnt 
322338,46.057145,38.313192,83
50002918,46.049620,38.219435,281
157709,46.050988,38.204325,707
50007989,46.053396,38.189934,31
307833,46.055837,38.187778,890
50005020,46.053889,38.173992,98
161559,46.050540,38.175732,457
207603,46.050289,38.166389,387
2770,46.044450,38.158873,778
133793,46.043631,38.169471,374
107814,46.044029,38.175663,618
310533,46.048863,38.190850,154
303149,45.749757,38.441987,144
169472,46.315524,39.961825,309
302554,46.313831,39.976701,241
323723,46.297924,39.996724,101
167965,46.318808,39.976724,297
309830,46.321586,39.971356,118
169908,46.322713,39.966313,200
3166,46.320545,39.966663,682
208533,46.318457,39.960971,425
319149,46.295988,39.810531,89
170078,46.283434,39.810411,589
3165,46.281683,39.800974,700
309949,46.284554,39.767465,180
153325,46.136150,39.779790,501
319871,46.136587,39.774868,35
321221,46.137359,39.768732,115
112816,46.139064,39.751464,701
139722,46.133257,39.767824,322
109603,46.124137,39.771069,549
167357,46.122990,39.774003,169
319407,46.122586,39.781652,116
302096,46.176650,39.632997,430
320341,46.320895,38.974253,59
301276,46.311951,38.956233,309
4020,46.317256,38.950847,504
318142,46.325233,38.942003,50
110955,46.324107,38.748395,513
310658,46.327573,38.747150,170
212866,46.279648,38.478153,188
210811,46.358609,38.267044,365
305238,46.493904,38.280008,216
302028,46.576838,38.259041,178
212185,46.644499,38.267633,279
50004998,46.647260,38.078180,114
117905,46.637821,37.796534,633
206931,46.627807,37.798566,353
304359,46.624960,38.151001,204
130998,46.408917,37.948584,371
307822,46.404517,40.073441,142
50001910,46.405244,40.383548,153
302961,46.373853,40.551003,318
50004666,46.424890,40.628815,108
310365,46.553127,40.664712,201
211857,46.554642,40.649526,274
138812,46.572571,40.656468,491
110539,46.566617,40.657836,947
130980,46.560993,40.664526,426
311765,46.480887,40.923894,239
311101,46.402578,40.971244,190
206152,46.530998,41.021096,422
160298,46.536265,41.024510,358
321104,46.537607,41.032572,59
109231,46.529650,41.035153,601
164072,46.536770,41.051708,543
50006204,46.542906,41.045499,119
311921,46.519291,41.186148,86
50009260,46.530586,41.025714,34
50011804,46.569132,40.653321,9
50010244,46.531965,41.010895,5
309121,46.183985,41.082024,238
3770,46.180521,41.082918,573
310353,46.191584,41.088195,262
322104,46.189138,41.090998,104
162112,46.193002,41.100037,313
168188,46.234414,41.299201,658
305358,46.116513,41.504636,289
305739,46.081892,41.360376,165
311639,46.013449,41.265694,186
217983,45.919215,41.306747,368
316884,45.830309,41.492818,93
205705,45.712265,41.461338,199
303417,45.624021,41.395913,306
100346,45.838272,41.511672,605
210452,45.840545,41.511313,470
169112,45.853123,41.528487,535
318901,45.839952,41.526403,45
314500,45.832612,41.531442,171
310670,45.821163,41.734713,230
305729,46.467028,39.943427,198
50001263,46.533270,40.101022,154
311575,46.540780,39.853290,139
50002149,46.570972,39.661060,210
50001106,46.561195,39.659497,412
210064,46.569203,39.650615,502
210080,46.565080,39.636513,127
126398,46.566919,39.634557,429
211624,46.565386,39.629663,224
134694,46.568032,39.625952,532
2146,46.565551,39.627095,646
167942,46.561112,39.620282,481
324137,46.562366,39.631829,55
320924,46.550475,39.643964,116
319935,46.555085,39.629637,162
150861,46.549157,39.621659,390
112731,46.554061,39.598077,335
214912,46.478864,39.573456,344
213938,46.735506,39.571273,245
319829,46.735784,39.562299,364
50002932,46.729397,40.016505,122
50006494,46.664584,39.748900,151
50009404,46.550539,39.591040,0
133578,46.072698,38.969396,304
50000685,46.071620,38.976220,191
309603,46.065620,38.983116,301
200630,46.062288,38.971207,425
113243,46.066285,38.961263,498
