office_id,coordinates,,dist_lm,avg_shk
132981,55.4670150000,36.0016050000,87,342
171207,55.5251100000,37.2649810000,19,193
157438,55.5998730000,37.3660830000,14,852
208387,55.6192230000,37.4871550000,24,316
319375,55.8071844650,37.3943905250,35,271
113289,55.6449980000,37.3981880000,16,868
172010,55.6440590000,37.4056330000,16,272
214534,55.2153640120,34.2794701390,208,240
205581,55.7827840000,37.0517000000,56,241
301718,55.6670860000,37.4967760000,23,464
135486,55.6614900000,37.4220320000,19,691
209829,55.6811580000,37.2457960000,18,346
314573,55.6892650000,37.5580110000,29,245
310785,55.3938710000,36.6207300000,51,357
157190,55.6047850000,36.4908420000,57,756
200618,55.6125370000,36.8108270000,38,443
123106,55.5484290000,37.3247530000,17,826
161668,55.7213830000,37.3878500000,26,388
50002622,55.7667700000,37.2187130000,31,149
143402,55.9392130000,36.7091070000,92,457
161082,55.6672440000,37.2851510000,17,568
137172,55.4813570000,36.9199680000,28,519
204235,55.7029460000,37.4977800000,24,265
3948,55.7571950000,37.4050710000,33,690
209473,55.5328340000,37.0607430000,17,498
203539,55.8552650000,37.1810630000,53,443
50003068,55.6911310000,37.4525350000,22,200
3946,55.6762970060,37.5102858390,24,636
139362,55.8073860000,37.2863600000,39,665
169797,55.3855460000,36.7445110000,43,477
3363,55.9402090000,36.7147030000,92,871
141124,55.7406950000,36.8593390000,44,336
50001924,55.6844570000,37.4508810000,23,312
2934,55.8474467440,37.1749814060,54,683
209761,55.7613250000,37.5125050000,35,755
312900,55.5683490000,37.2843780000,13,188
168902,55.4140670000,36.7148600000,46,675
205368,55.6030610000,37.3689340000,14,780
103759,55.7603750000,37.4190630000,34,942
161070,55.7335030000,36.8534740000,43,155
207570,55.5948090000,37.0420490000,19,350
139307,55.9119900000,36.8606110000,67,463
323736,55.6772150000,37.2482750000,17,0
205304,55.6230740000,37.4925360000,23,403
208883,55.5068360000,36.0315700000,84,243
203820,55.6324280000,37.4793400000,22,512
100340,55.6638000000,37.4860820000,22,883
3916,55.5472005830,34.9935757040,154,716
156428,55.6036900000,36.4823890000,57,337
164246,55.5907960000,37.3669420000,14,323
210203,55.7516440000,37.5162600000,32,518
113430,55.6465640000,37.4076620000,16,588
210491,55.5831600000,37.0376220000,21,540
307706,55.6518110000,37.3966140000,16,154
170027,55.7212900000,36.7929350000,48,564
113618,55.6448830000,37.3651910000,13,987
310792,55.6474730000,37.4977280000,23,184
3619,55.6449222020,37.4951725290,23,788
50004852,55.7322200000,37.4561060000,27,210
