office_id;lat;long;shk_cnt
214329;52.7425790000;103.6142000000;420
307764;52.3474890000;104.2228550000;432
159002;52.3473440000;104.2166410000;693
50006598;52.2077590000;104.2681650000;132
50003030;52.3032330000;104.3027520000;168
305335;52.4249950000;104.0470890000;104
315342;52.2847990100;104.2840965300;112
322990;52.2519810000;104.2742100000;384
147377;52.3506740000;104.1722270000;385
312589;51.6548020000;103.7225640000;379
50006864;52.2681270000;104.3170510000;76
212871;51.6631600000;103.7023250000;313
311844;52.7315810000;103.6545040000;189
301268;52.2897643010;104.3522378050;319
146471;52.2200546350;104.3037828860;582
302949;52.7532440000;103.6346690000;337
311969;52.3295840000;104.1969100000;182
159613;52.2695130000;104.2580970000;567
209557;52.3425710000;104.2251260000;215
159154;52.2595720000;104.3170600000;481
148148;52.2591710000;104.3256440000;439
307027;52.5354030000;103.8948970000;129
202567;52.5057110000;103.8558990000;606
325542;54.4065110000;101.1236480000;0
301142;52.5182778990;103.8702889280;362
128663;52.2704580000;104.3381270000;433
50002158;52.2428610000;104.4214260000;151
303087;52.8702060000;103.5546810000;199
50001405;52.7937730000;104.7477990000;135
50005484;55.8939900000;107.7978520000;333
50002682;52.7334410000;103.6524860000;245
141517;52.2725050000;104.3213440000;441
2198;52.3417734910;104.2235919430;761
300939;53.0349060000;102.3600350000;370
135656;52.5071771000;103.8452764000;396
135754;54.1093120000;102.1902470000;630
208917;51.6573780000;103.7168420000;425
168807;52.2191830000;104.2461970000;389
214536;52.2673809810;104.2087756580;369
153140;52.5127020000;103.8488320000;330
209682;52.5016980000;103.8332900000;255
138133;52.8154190000;103.5215030000;844
50007319;52.2189110000;104.2790790000;86
50007685;52.5287580000;103.8572300000;31
172783;52.2545890000;104.3426170000;525
50001241;52.2371790000;104.0639690000;93
312873;52.2334843930;104.2765971470;225
215846;52.5309110000;103.8796610000;349
214538;52.2842770000;104.2558310000;376
2660;52.2892850000;104.3398410000;568
305096;52.2100220000;104.0700120000;353
3012;52.2604889900;104.2361847120;785
215178;54.1785170000;103.0244560000;304
149828;52.4635070000;104.3867060000;588
1335;52.5122670000;103.8508710000;598
215107;52.5137280000;103.8583570000;689
50005074;52.9901060000;103.5109300000;74
207457;52.0781640000;104.0882140000;285
200306;52.3328530000;104.2023750000;478
306890;52.2518600000;104.2273090000;54
132930;52.5127790000;103.8396960000;464
50003603;52.5910440000;104.4640870000;52
154195;53.3827320000;103.8786370000;445
50001420;52.2624830000;104.3138980000;138
214217;52.3439240000;104.2140590000;439
217496;56.3693770000;114.8234680000;348
207755;52.5228060000;103.8678540000;361
210354;52.9570540000;103.2978170000;584
208313;55.6324430000;109.3330460000;696
131218;53.9591300000;105.8773170000;823
50004451;52.4613720000;103.7256690000;94
301246;52.2129130000;104.2099450000;960
50001643;52.7240310000;103.6643300000;281
320442;52.2753150940;104.3381088400;84
1878;52.2872777300;104.2917215580;502
50004089;52.3621590000;104.2267430000;102
156808;53.9202690000;102.0500980000;726
162469;52.2087030000;104.2911170000;420
308507;52.2696890000;104.2956060000;46
140663;52.5206730000;103.8791690000;527
50007280;53.0587150000;105.5046420000;31
213965;52.3473680000;104.1721620000;327
302143;52.2773163390;104.3247980760;0
50007890;52.2851150000;104.1289530000;47
308862;52.4690760000;104.3316760000;675
3079;52.5576330000;103.8797580000;873
50003178;52.2070560000;104.0533790000;112
310433;52.2861450000;104.3381520000;180
215141;52.2817420000;104.3240500000;298
131680;52.7313030000;103.6580560000;298
50000582;56.1417480000;111.7156030000;390
138873;51.6558008000;103.7158718000;567
216116;51.9528170000;104.7303230000;445
160100;52.2666880000;104.3398860000;702
210793;52.2831900000;104.2787720000;295
301674;52.2234342510;104.2465513380;191
303704;52.3308990000;104.3670060000;329
216156;52.3465790900;104.1840244430;201
207899;52.2332470000;104.2752740000;341
213732;53.1499190000;103.0696490000;801
2798;52.2385880000;104.2780910000;540
5459;52.2767636860;104.2458583350;508
310209;52.5392810000;103.8809730000;153
50005145;52.5008410000;103.8611290000;235
50002358;52.7604190000;103.6293730000;114
161019;52.2112890000;104.0942180000;580
307590;52.5445330000;103.8890400000;113
50000314;52.2628270000;104.2595410000;68
105758;52.3573020000;104.2139280000;931
311583;51.6694900000;103.6807740000;335
50001499;52.8023770000;106.4092540000;130
212437;52.3343990000;104.2021920000;360
50006593;52.3522800000;104.1671760000;97
50001808;52.9721440000;103.5069230000;85
218228;51.7251620000;103.6707760000;280
127580;52.2833140000;104.2447630000;437
306758;53.3455590000;103.9915820000;93
133108;52.3500470000;104.1553920000;390
169129;52.2912970000;104.2455500000;369
321103;52.2838860000;104.2991570000;13
311290;57.8193210000;114.0103310000;292
136250;52.5407480000;103.8836300000;428
161480;52.2086860000;104.0582370000;445
158930;52.5548280000;103.8840990000;535
3989;52.4978490000;103.8404280000;612
311720;53.0496920000;102.8886760000;157
50007155;52.5327510000;103.8863360000;75
50007214;52.2853840000;104.2732040000;94
139734;52.2330060000;104.2965360000;94
307104;54.8049180000;105.1692830000;575
302599;53.1502163990;103.0801509330;376
307685;52.2794530000;104.2478280000;228
1900;52.2666315580;104.3273117290;890
215782;52.3522330000;104.1537590000;182
200408;52.2225650000;104.1167990000;226
212776;52.3109120000;104.3056870000;256
212641;51.4472310000;104.6455490000;679
307481;52.2786356740;104.3554200910;281
320907;52.2929260000;104.3402540000;229
308961;52.3512900000;104.1443680000;171
307547;53.1166270000;103.1486210000;235
50003457;52.2548180000;104.2501070000;133
50006828;52.2076670000;104.0682580000;69
216883;52.5988830000;103.8938820000;181
163317;52.2228340000;104.0502050000;554
307610;52.5026310000;103.8266950000;334
308504;52.5093420000;104.2404790000;65
2125;52.7519586590;103.6601356440;659
50005940;54.7964380000;105.2316890000;74
147784;52.5009813230;103.8537489180;439
50005855;52.2547710000;104.2327080000;93
170932;52.2392660000;104.4256390000;980
106186;52.2391730000;104.2976290000;388
305807;52.2198328430;104.2778865990;165
136257;54.3527870000;101.5229300000;467
302745;52.2476465720;104.2279551820;249
202970;52.3896970000;104.1369980000;400
107919;53.5550420000;102.4878530000;692
202501;52.3510940000;104.2276410000;503
134851;52.5040500000;103.8444660000;702
310864;52.5380370000;103.8920070000;87
204923;52.2214920000;104.2364230000;561
215385;53.3448440000;102.7921160000;331
156489;52.2785750000;104.3361850000;438
138415;52.2813200000;104.3113700000;343
214141;52.5157354310;103.8482530320;355
159388;53.1144980000;103.1530410000;859
50005921;53.6807030000;102.6710050000;129
50007569;52.4734970000;104.3199450000;51
2483;52.2616371570;104.2111485590;781
159769;52.2797740000;104.3243580000;267
50001131;52.2755280000;104.2600710000;87
208206;55.6414270000;109.3437360000;385
50000445;52.3168080000;104.3162780000;318
308203;52.2738410000;104.3146880000;202
157666;52.7515570000;103.6570770000;438
315514;52.2585190000;104.3634310000;160
105166;52.2625350000;104.3007830000;600
310903;52.2511320000;104.3276690000;177
50005947;52.2084640000;104.0870540000;79
200545;52.3606840000;104.2162620000;453
157028;52.5165500000;103.8694380000;392
50005075;52.2650240000;104.2520040000;154
132946;52.2317950000;104.2851940000;413
143206;52.5401800000;103.8869200000;420
138491;52.2528290000;104.3631530000;604
3827;52.2213979830;104.2432280670;579
303234;52.2222210000;104.2928590000;94
