ofc_lat|ofc_long|courier_id|delivery_lat|delivery_long|visit_dt|height|length|width
43.235406|76.892700|44071970|43.216438|76.883598|2024-08-09 11:16:16+03|26.00|4.00|7.00
43.235406|76.892700|44071970|43.216438|76.883598|2024-08-09 11:16:16+03|17.00|2.00|24.00
43.235406|76.892700|44071970|43.203671|76.850280|2024-08-09 12:09:46+03|8.00|18.00|8.00
43.235406|76.892700|44071970|43.203671|76.850280|2024-08-09 12:09:46+03|3.00|27.00|24.00
43.235406|76.892700|44024092|43.205143|76.887236|2024-08-09 09:14:00+03|8.00|7.00|7.00
43.235406|76.892700|44024092|43.205143|76.887236|2024-08-09 09:14:00+03|21.00|19.00|2.00
43.235406|76.892700|44024092|43.205143|76.887236|2024-08-09 09:14:00+03|3.00|21.00|17.00
43.235406|76.892700|44024092|43.205143|76.887236|2024-08-09 09:14:00+03|3.00|21.00|17.00
43.235406|76.892700|44024092|43.205143|76.887236|2024-08-09 09:14:00+03|5.00|10.00|19.00
43.235406|76.892700|44024092|43.205143|76.887236|2024-08-09 09:14:00+03|15.00|2.00|17.00
43.235406|76.892700|43751141|43.189659|76.854295|2024-08-09 10:44:05+03|14.00|31.00|23.00
43.235406|76.892700|43751141|43.189659|76.854295|2024-08-09 10:44:05+03|20.00|21.00|21.00
43.235406|76.892700|44073434|43.180476|76.868264|2024-08-09 11:29:13+03|15.00|4.00|6.00
43.235406|76.892700|44024472|43.230069|76.841818|2024-08-09 08:46:33+03|7.00|32.00|7.00
43.235406|76.892700|44073434|43.223829|76.859344|2024-08-09 07:12:02+03|10.00|10.00|10.00
43.235406|76.892700|44024507|43.188206|76.870366|2024-08-09 10:29:38+03|3.00|15.00|20.00
43.235406|76.892700|44024507|43.188206|76.870366|2024-08-09 10:29:38+03|10.00|6.00|6.00
43.235406|76.892700|44024507|43.188206|76.870366|2024-08-09 10:29:38+03|3.00|15.00|20.00
43.235406|76.892700|44071970|43.212331|76.876726|2024-08-09 09:52:53+03|5.00|30.00|20.00
43.235406|76.892700|44024507|43.188160|76.869558|2024-08-09 10:36:16+03|6.00|10.00|6.00
43.235406|76.892700|44024507|43.188160|76.869558|2024-08-09 10:36:16+03|6.00|5.00|5.00
43.235406|76.892700|44024114|43.231153|76.874283|2024-08-09 11:39:11+03|4.00|37.00|18.00
