client,route,time,lat,lng
58,50,1001.900000,43.188817,76.868345
58,50,1301.900000,43.188817,76.868345
48,50,1635.600000,43.188489,76.866872
48,50,1935.600000,43.188489,76.866872
48,50,2235.600000,43.188489,76.866872
48,50,2535.600000,43.188489,76.866872
159,50,2909.600000,43.187536,76.868929
109,50,3532.800000,43.180035,76.868569
109,50,3832.800000,43.180035,76.868569
30,51,656.200000,43.259746,76.845240
181,51,971.400000,43.260678,76.845366
181,51,1271.400000,43.260678,76.845366
181,51,1571.400000,43.260678,76.845366
181,51,1871.400000,43.260678,76.845366
249,51,2171.500000,43.260685,76.845339
98,51,2544.200000,43.259352,76.840632
98,51,2844.200000,43.259352,76.840632
55,51,3332.700000,43.260297,76.826906
128,51,3871.300000,43.250435,76.827561
205,52,673.800000,43.179299,76.862407
175,52,1118.700000,43.175670,76.870231
109,52,1588.700000,43.180035,76.868569
254,52,1929.200000,43.180476,76.868264
71,52,2449.800000,43.173467,76.866000
7,52,2883.500000,43.170482,76.872243
70,52,3223.600000,43.170417,76.872782
37,52,3829.400000,43.176788,76.845590
215,52,4596.100000,43.171721,76.831732
215,52,4896.100000,43.171721,76.831732
65,53,624.400000,43.241636,76.816314
160,53,996.100000,43.241517,76.811778
72,53,1461.300000,43.247539,76.816638
128,53,2014.400000,43.250435,76.827561
128,53,2314.400000,43.250435,76.827561
128,53,2614.400000,43.250435,76.827561
151,53,3176.900000,43.262286,76.821381
151,53,3476.900000,43.262286,76.821381
151,53,3776.900000,43.262286,76.821381
151,53,4076.900000,43.262286,76.821381
151,54,702.900000,43.262286,76.821381
151,54,1002.900000,43.262286,76.821381
236,54,1482.300000,43.267368,76.821587
68,54,2140.900000,43.282416,76.829908
68,54,2440.900000,43.282416,76.829908
68,54,2740.900000,43.282416,76.829908
68,54,3040.900000,43.282416,76.829908
68,54,3340.900000,43.282416,76.829908
120,54,4134.800000,43.259529,76.799893
46,54,4510.700000,43.256266,76.801241
41,55,701.500000,43.238825,76.802714
41,55,1001.500000,43.238825,76.802714
41,55,1301.500000,43.238825,76.802714
21,55,1858.700000,43.250849,76.798779
120,55,2377.900000,43.259529,76.799893
238,55,3248.400000,43.235482,76.808616
215,55,4376.900000,43.171721,76.831732
147,55,5538.000000,43.155713,76.894558
147,55,5838.000000,43.155713,76.894558
