"car_type","car_type_numb","src","src_coordinates","dst","dst_coordinates"
gazel,1,169872,"{""latitude"": 46.312097, ""longitude"": 48.056881}",117986,"{""latitude"": 55.848147, ""longitude"": 48.843685}"
gazel,1,169872,"{""latitude"": 46.312097, ""longitude"": 48.056881}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,169872,"{""latitude"": 46.312097, ""longitude"": 48.056881}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,172430,"{""latitude"": 53.384265, ""longitude"": 83.739861}",686,"{""latitude"": 54.941901, ""longitude"": 82.916459}"
gazel,1,172430,"{""latitude"": 53.384265, ""longitude"": 83.739861}",117986,"{""latitude"": 55.848147, ""longitude"": 48.843685}"
gazel,1,172430,"{""latitude"": 53.384265, ""longitude"": 83.739861}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,172430,"{""latitude"": 53.384265, ""longitude"": 83.739861}",300571,"{""latitude"": 56.726696, ""longitude"": 60.578278}"
gazel,1,172430,"{""latitude"": 53.384265, ""longitude"": 83.739861}",218210,"{""latitude"": 55.823819179, ""longitude"": 38.251653675}"
gazel,1,172430,"{""latitude"": 53.384265, ""longitude"": 83.739861}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,210557,"{""latitude"": 50.898893, ""longitude"": 128.535972}",686,"{""latitude"": 54.941901, ""longitude"": 82.916459}"
gazel,1,210557,"{""latitude"": 50.898893, ""longitude"": 128.535972}",131643,"{""latitude"": 52.319649, ""longitude"": 104.248228}"
gazel,1,210557,"{""latitude"": 50.898893, ""longitude"": 128.535972}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,210557,"{""latitude"": 50.898893, ""longitude"": 128.535972}",218210,"{""latitude"": 55.823819179, ""longitude"": 38.251653675}"
gazel,1,207016,"{""latitude"": 50.593676, ""longitude"": 36.679399}",130486,"{""latitude"": 51.672394, ""longitude"": 39.296102}"
gazel,1,207016,"{""latitude"": 50.593676, ""longitude"": 36.679399}",206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}"
gazel,1,207016,"{""latitude"": 50.593676, ""longitude"": 36.679399}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,207016,"{""latitude"": 50.593676, ""longitude"": 36.679399}",140302,"{""latitude"": 51.765435, ""longitude"": 36.131845}"
gazel,1,219030,"{""latitude"": 56.30041, ""longitude"": 101.700708}",686,"{""latitude"": 54.941901, ""longitude"": 82.916459}"
gazel,1,219030,"{""latitude"": 56.30041, ""longitude"": 101.700708}",130744,"{""latitude"": 45.055356, ""longitude"": 39.067991}"
gazel,1,219030,"{""latitude"": 56.30041, ""longitude"": 101.700708}",206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}"
gazel,1,219030,"{""latitude"": 56.30041, ""longitude"": 101.700708}",117986,"{""latitude"": 55.848147, ""longitude"": 48.843685}"
gazel,1,219030,"{""latitude"": 56.30041, ""longitude"": 101.700708}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,219030,"{""latitude"": 56.30041, ""longitude"": 101.700708}",6145,"{""latitude"": 56.075378, ""longitude"": 92.948591}"
gazel,1,219030,"{""latitude"": 56.30041, ""longitude"": 101.700708}",1733,"{""latitude"": 56.767604, ""longitude"": 60.81316}"
gazel,1,219030,"{""latitude"": 56.30041, ""longitude"": 101.700708}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,219030,"{""latitude"": 56.30041, ""longitude"": 101.700708}",311800,"{""latitude"": 59.74376, ""longitude"": 30.509576}"
gazel,1,219030,"{""latitude"": 56.30041, ""longitude"": 101.700708}",161520,"{""latitude"": 55.141009, ""longitude"": 82.985385}"
gazel,1,300363,"{""latitude"": 52.126005, ""longitude"": 23.64126}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,300363,"{""latitude"": 52.126005, ""longitude"": 23.64126}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,217081,"{""latitude"": 53.320124, ""longitude"": 34.248998}",207743,"{""latitude"": 55.996703739, ""longitude"": 37.883953939}"
gazel,1,217081,"{""latitude"": 53.320124, ""longitude"": 34.248998}",206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}"
gazel,1,217081,"{""latitude"": 53.320124, ""longitude"": 34.248998}",206236,"{""latitude"": 55.328742812, ""longitude"": 37.82100529}"
gazel,1,217081,"{""latitude"": 53.320124, ""longitude"": 34.248998}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,217081,"{""latitude"": 53.320124, ""longitude"": 34.248998}",140302,"{""latitude"": 51.765435, ""longitude"": 36.131845}"
gazel,1,217081,"{""latitude"": 53.320124, ""longitude"": 34.248998}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,217081,"{""latitude"": 53.320124, ""longitude"": 34.248998}",117442,"{""latitude"": 54.483186, ""longitude"": 36.218078}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",207743,"{""latitude"": 55.996703739, ""longitude"": 37.883953939}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",206968,"{""latitude"": 55.125659, ""longitude"": 37.556262}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",207404,"{""latitude"": 57.662651, ""longitude"": 39.78925}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",117456,"{""latitude"": 56.825157, ""longitude"": 35.87904}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",206236,"{""latitude"": 55.328742812, ""longitude"": 37.82100529}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",203631,"{""latitude"": 59.234185, ""longitude"": 39.923862}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",117986,"{""latitude"": 55.848147, ""longitude"": 48.843685}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",300168,"{""latitude"": 56.084394, ""longitude"": 37.155605}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",2737,"{""latitude"": 59.869844, ""longitude"": 30.519603}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",302856,"{""latitude"": 55.575239899, ""longitude"": 37.697530594}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",210127,"{""latitude"": 55.58783, ""longitude"": 37.226277}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",218616,"{""latitude"": 47.366609, ""longitude"": 39.716696}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",117501,"{""latitude"": 55.413049, ""longitude"": 37.588278}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",218210,"{""latitude"": 55.823819179, ""longitude"": 38.251653675}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",300864,"{""latitude"": 56.113127507, ""longitude"": 37.180021536}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",311800,"{""latitude"": 59.74376, ""longitude"": 30.509576}"
gazel,1,210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}",205228,"{""latitude"": 55.65431, ""longitude"": 37.888459}"
gazel,1,302856,"{""latitude"": 55.575239899, ""longitude"": 37.697530594}",206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}"
gazel,1,302856,"{""latitude"": 55.575239899, ""longitude"": 37.697530594}",206968,"{""latitude"": 55.125659, ""longitude"": 37.556262}"
gazel,1,302856,"{""latitude"": 55.575239899, ""longitude"": 37.697530594}",206236,"{""latitude"": 55.328742812, ""longitude"": 37.82100529}"
gazel,1,302856,"{""latitude"": 55.575239899, ""longitude"": 37.697530594}",210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}"
gazel,1,302856,"{""latitude"": 55.575239899, ""longitude"": 37.697530594}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,302856,"{""latitude"": 55.575239899, ""longitude"": 37.697530594}",218210,"{""latitude"": 55.823819179, ""longitude"": 38.251653675}"
gazel,1,302856,"{""latitude"": 55.575239899, ""longitude"": 37.697530594}",117501,"{""latitude"": 55.413049, ""longitude"": 37.588278}"
gazel,1,302856,"{""latitude"": 55.575239899, ""longitude"": 37.697530594}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,302856,"{""latitude"": 55.575239899, ""longitude"": 37.697530594}",210001,"{""latitude"": 55.125925956, ""longitude"": 37.556771605}"
gazel,1,302856,"{""latitude"": 55.575239899, ""longitude"": 37.697530594}",210127,"{""latitude"": 55.58783, ""longitude"": 37.226277}"
gazel,1,158751,"{""latitude"": 43.088653, ""longitude"": 44.644355}",130744,"{""latitude"": 45.055356, ""longitude"": 39.067991}"
gazel,1,158751,"{""latitude"": 43.088653, ""longitude"": 44.644355}",208277,"{""latitude"": 44.662695, ""longitude"": 41.896576}"
gazel,1,158751,"{""latitude"": 43.088653, ""longitude"": 44.644355}",206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}"
gazel,1,158751,"{""latitude"": 43.088653, ""longitude"": 44.644355}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,158751,"{""latitude"": 43.088653, ""longitude"": 44.644355}",218616,"{""latitude"": 47.366609, ""longitude"": 39.716696}"
gazel,1,158751,"{""latitude"": 43.088653, ""longitude"": 44.644355}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,158751,"{""latitude"": 43.088653, ""longitude"": 44.644355}",209211,"{""latitude"": 43.03146948, ""longitude"": 47.433087104}"
gazel,1,144649,"{""latitude"": 56.09682, ""longitude"": 40.354817}",300219,"{""latitude"": 59.207319, ""longitude"": 39.800209}"
gazel,1,144649,"{""latitude"": 56.09682, ""longitude"": 40.354817}",206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}"
gazel,1,144649,"{""latitude"": 56.09682, ""longitude"": 40.354817}",206236,"{""latitude"": 55.328742812, ""longitude"": 37.82100529}"
gazel,1,144649,"{""latitude"": 56.09682, ""longitude"": 40.354817}",117986,"{""latitude"": 55.848147, ""longitude"": 48.843685}"
gazel,1,144649,"{""latitude"": 56.09682, ""longitude"": 40.354817}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,144649,"{""latitude"": 56.09682, ""longitude"": 40.354817}",218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}"
gazel,1,144649,"{""latitude"": 56.09682, ""longitude"": 40.354817}",218210,"{""latitude"": 55.823819179, ""longitude"": 38.251653675}"
gazel,1,144649,"{""latitude"": 56.09682, ""longitude"": 40.354817}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",207743,"{""latitude"": 55.996703739, ""longitude"": 37.883953939}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",206968,"{""latitude"": 55.125659, ""longitude"": 37.556262}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",206236,"{""latitude"": 55.328742812, ""longitude"": 37.82100529}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
