route_id,office_id,hub_office_id,latitude,longitude,latitude,longitude
102,205205,303219,58.571995,49.576179,58.667818,49.672559
102,206236,118535,55.328742812,37.82100529,56.169053,43.895555
102,206348,118535,54.437235,37.464906,56.169053,43.895555
102,218210,118535,55.823819179,38.251653675,56.169053,43.895555
107,206348,300987,54.437235,37.464906,54.815902,31.975506
107,218210,303024,55.823819179,38.251653675,51.840969,107.641213
109,507,218644,55.38614,37.583393,48.449259,135.12843
109,1193,218644,48.449121,135.11073,48.449259,135.12843
109,120762,1193,55.747074,38.4115,48.449121,135.11073
109,131643,1193,52.319649,104.248228,48.449121,135.11073
109,208931,218644,46.983333,142.725815,48.449259,135.12843
109,214951,1193,43.357235,132.122865,48.449121,135.11073
109,218210,218644,55.823819179,38.251653675,48.449259,135.12843
109,218644,1193,48.449259,135.12843,48.449121,135.11073
109,218784,218644,46.983333,142.725815,48.449259,135.12843
111,507,207390,55.38614,37.583393,52.448389,30.996117
111,117393,300461,53.898376,27.697725,52.463864,30.940521
111,117442,207390,54.483186,36.218078,52.448389,30.996117
111,206348,300461,54.437235,37.464906,52.463864,30.940521
111,300219,311895,59.207319,39.800209,59.158741,37.935271
112,161812,217678,59.82158,30.355816,55.59003931,37.227566347
114,120762,207803,55.747074,38.4115,54.786513,32.100785
114,206236,207803,55.328742812,37.82100529,54.786513,32.100785
114,206348,207803,54.437235,37.464906,54.786513,32.100785
115,144649,300219,56.09682,40.354817,59.207319,39.800209
123,507,141637,55.38614,37.583393,55.745869,37.887375
123,302988,169872,46.383882,48.004837,46.312097,48.056881
125,120762,302856,55.747074,38.4115,55.575239899,37.697530594
133,117442,300219,54.483186,36.218078,59.207319,39.800209
134,507,6144,55.38614,37.583393,48.7554,44.4405
134,117986,6144,55.848147,48.843685,48.7554,44.4405
134,120762,6144,55.747074,38.4115,48.7554,44.4405
134,130744,6144,45.055356,39.067991,48.7554,44.4405
134,133533,6144,47.367228,39.712646,48.7554,44.4405
134,169872,6144,46.312097,48.056881,48.7554,44.4405
134,206236,6144,55.328742812,37.82100529,48.7554,44.4405
134,206348,6144,54.437235,37.464906,48.7554,44.4405
134,208277,6144,44.662695,41.896576,48.7554,44.4405
134,301516,6144,48.779894,44.51004,48.7554,44.4405
134,301983,6144,48.753836,44.481276,48.7554,44.4405
134,302988,6144,46.383882,48.004837,48.7554,44.4405
136,507,133858,55.38614,37.583393,53.23448,44.906253
136,117230,133858,53.091476,50.126734,53.23448,44.906253
136,117986,133858,55.848147,48.843685,53.23448,44.906253
136,120762,133858,55.747074,38.4115,53.23448,44.906253
136,133533,133858,47.367228,39.712646,53.23448,44.906253
136,158929,133858,51.601574,45.943636,53.23448,44.906253
136,160030,133858,52.599422,39.392793,53.23448,44.906253
136,206236,133858,55.328742812,37.82100529,53.23448,44.906253
136,206348,133858,54.437235,37.464906,53.23448,44.906253
136,211415,133858,51.800428813,39.21810555,53.23448,44.906253
136,218616,133858,47.366609,39.716696,53.23448,44.906253
136,301957,133858,47.367953,39.71672,53.23448,44.906253
136,302335,133858,53.101049,46.583858,53.23448,44.906253
139,507,144649,55.38614,37.583393,56.09682,40.354817
139,117986,144649,55.848147,48.843685,56.09682,40.354817
139,120762,144649,55.747074,38.4115,56.09682,40.354817
139,206236,144649,55.328742812,37.82100529,56.09682,40.354817
139,206348,144649,54.437235,37.464906,56.09682,40.354817
139,218210,144649,55.823819179,38.251653675,56.09682,40.354817
139,218402,144649,56.951769,40.941105,56.09682,40.354817
140,507,686,55.38614,37.583393,54.941901,82.916459
140,1733,686,56.767604,60.81316,54.941901,82.916459
140,6145,686,56.075378,92.948591,54.941901,82.916459
140,117986,686,55.848147,48.843685,54.941901,82.916459
140,120762,686,55.747074,38.4115,54.941901,82.916459
140,130744,686,45.055356,39.067991,54.941901,82.916459
140,131643,686,52.319649,104.248228,54.941901,82.916459
140,159402,686,59.789885,30.436123,54.941901,82.916459
140,161520,686,55.141009,82.985385,54.941901,82.916459
140,168458,686,55.010898,73.446973,54.941901,82.916459
140,204615,686,56.516407,85.024625,54.941901,82.916459
140,206348,686,54.437235,37.464906,54.941901,82.916459
140,206708,686,53.760427,87.092846,54.941901,82.916459
140,207404,686,57.662651,39.78925,54.941901,82.916459
140,208277,686,44.662695,41.896576,54.941901,82.916459
140,210557,686,50.898893,128.535972,54.941901,82.916459
140,213849,686,55.310288,86.140728,54.941901,82.916459
140,214951,686,43.357235,132.122865,54.941901,82.916459
140,218402,686,56.951769,40.941105,54.941901,82.916459
140,218644,686,48.449259,135.12843,54.941901,82.916459
140,218674,686,52.007122,113.560661,54.941901,82.916459
140,219030,686,56.30041,101.700708,54.941901,82.916459
140,300571,686,56.726696,60.578278,54.941901,82.916459
140,302737,686,53.321512,83.642199,54.941901,82.916459
140,303024,686,51.840969,107.641213,54.941901,82.916459
142,120762,117393,55.747074,38.4115,53.898376,27.697725
143,507,117393,55.38614,37.583393,53.898376,27.697725
143,120762,211622,55.747074,38.4115,53.858061029,27.398763421
143,159402,117393,59.789885,30.436123,53.898376,27.697725
143,206348,211622,54.437235,37.464906,53.858061029,27.398763421
143,207390,117393,52.448389,30.996117,53.898376,27.697725
143,211622,117393,53.858061029,27.398763421,53.898376,27.697725
143,300461,117393,52.463864,30.940521,53.898376,27.697725
143,300987,117393,54.815902,31.975506,53.898376,27.697725
143,314137,117393,53.637552,23.777974,53.898376,27.697725
145,120762,300461,55.747074,38.4115,52.463864,30.940521
145,206968,206348,55.125659,37.556262,54.437235,37.464906
148,507,207743,55.38614,37.583393,55.996703739,37.883953939
148,2737,207743,59.869844,30.519603,55.996703739,37.883953939
148,117501,207743,55.413049,37.588278,55.996703739,37.883953939
148,120762,207743,55.747074,38.4115,55.996703739,37.883953939
148,205228,207743,55.65431,37.888459,55.996703739,37.883953939
148,206236,207743,55.328742812,37.82100529,55.996703739,37.883953939
148,206348,207743,54.437235,37.464906,55.996703739,37.883953939
148,206968,207743,55.125659,37.556262,55.996703739,37.883953939
148,207022,207743,55.968988,37.320131,55.996703739,37.883953939
148,207404,207743,57.662651,39.78925,55.996703739,37.883953939
148,210001,207743,55.125925956,37.556771605,55.996703739,37.883953939
148,217081,207743,53.320124,34.248998,55.996703739,37.883953939
148,218210,207743,55.823819179,38.251653675,55.996703739,37.883953939
148,218402,207743,56.951769,40.941105,55.996703739,37.883953939
148,218628,207743,56.905912,53.359074,55.996703739,37.883953939
148,300168,207743,56.084394,37.155605,55.996703739,37.883953939
148,300864,207743,56.113127507,37.180021536,55.996703739,37.883953939
148,302769,207743,64.527853,40.653662,55.996703739,37.883953939
153,507,205985,55.38614,37.583393,46.312237,39.946724
153,120762,205985,55.747074,38.4115,46.312237,39.946724
153,133533,205985,47.367228,39.712646,46.312237,39.946724
153,206236,205985,55.328742812,37.82100529,46.312237,39.946724
153,208277,205985,44.662695,41.896576,46.312237,39.946724
153,211415,205985,51.800428813,39.21810555,46.312237,39.946724
153,218616,205985,47.366609,39.716696,46.312237,39.946724
153,302738,205985,51.645263,46.009598,46.312237,39.946724
154,130744,205985,45.055356,39.067991,46.312237,39.946724
155,507,130744,55.38614,37.583393,45.055356,39.067991
155,686,130744,54.941901,82.916459,45.055356,39.067991
155,1733,130744,56.767604,60.81316,45.055356,39.067991
155,2737,211157,59.869844,30.519603,43.248619549,76.846916683
155,6144,130744,48.7554,44.4405,45.055356,39.067991
155,117986,130744,55.848147,48.843685,45.055356,39.067991
155,120762,130744,55.747074,38.4115,45.055356,39.067991
155,130486,130744,51.672394,39.296102,45.055356,39.067991
155,133533,130744,47.367228,39.712646,45.055356,39.067991
155,144154,130744,45.032496,34.045926,45.055356,39.067991
155,158311,130744,44.03429,43.164327,45.055356,39.067991
155,158751,130744,43.088653,44.644355,45.055356,39.067991
155,159402,130744,59.789885,30.436123,45.055356,39.067991
155,205104,130744,54.356576,48.598839,45.055356,39.067991
155,205985,130744,46.312237,39.946724,45.055356,39.067991
155,206236,130744,55.328742812,37.82100529,45.055356,39.067991
155,206348,130744,54.437235,37.464906,45.055356,39.067991
155,208277,130744,44.662695,41.896576,45.055356,39.067991
155,209211,130744,43.03146948,47.433087104,45.055356,39.067991
155,210001,130744,55.125925956,37.556771605,45.055356,39.067991
155,211415,130744,51.800428813,39.21810555,45.055356,39.067991
155,217678,132170,55.59003931,37.227566347,45.054368,39.069009
155,218402,130744,56.951769,40.941105,45.055356,39.067991
